ax ay az gx gy gz
532 728 -16876 -558 235 97
540 716 -16948 -568 238 73
500 700 -16980 -576 254 107
552 672 -16908 -560 274 82
468 732 -16832 -601 247 119
544 672 -16860 -588 241 62
580 704 -16924 -558 244 95
532 696 -16992 -562 241 77
524 736 -16972 -579 260 71
560 704 -16860 -589 273 99
568 736 -16988 -573 257 60
580 676 -16956 -553 270 70
552 732 -16984 -592 264 66
600 692 -16972 -607 215 51
532 684 -16980 -520 247 56
576 776 -16852 -560 262 90
528 684 -16976 -490 241 86
540 668 -16908 -559 241 91
524 672 -16844 -559 268 65
516 688 -16976 -579 230 108
456 700 -16928 -582 262 111
572 604 -16964 -579 216 76
520 732 -16944 -574 265 93
524 696 -16864 -564 248 88
456 712 -17036 -609 247 60
556 684 -17012 -561 251 47
428 668 -16940 -599 243 78
544 648 -16960 -590 245 70
552 728 -16896 -587 251 71
628 632 -16968 -594 272 79
572 656 -16940 -572 226 65
540 720 -17032 -594 227 89
620 692 -17008 -632 279 89
580 748 -16968 -619 225 77
520 740 -16992 -603 266 93
584 780 -17064 -558 276 64
568 708 -16888 -606 241 97
564 724 -17040 -547 264 98
572 696 -16836 -539 205 78
536 684 -17012 -600 254 96
576 684 -16964 -588 258 46
564 680 -16892 -582 242 68
564 720 -16968 -567 288 49
500 724 -16940 -586 226 69
624 692 -16952 -608 218 87
552 688 -16960 -561 265 62
536 704 -16980 -549 255 100
500 724 -16900 -524 244 106
548 720 -16964 -594 242 93
520 640 -17008 -549 255 102
524 660 -17000 -596 233 120
560 716 -16972 -594 229 53
520 704 -16916 -590 253 92
544 736 -16996 -591 254 101
528 728 -16932 -584 264 38
540 684 -16972 -579 275 56
540 736 -16892 -599 255 84
560 728 -16932 -561 276 89
584 740 -16968 -586 240 98
488 688 -16944 -564 261 98
540 724 -16992 -559 255 102
564 684 -16992 -574 221 71
524 692 -16924 -536 260 78
584 752 -16984 -562 252 97
580 732 -17016 -598 260 90
528 700 -16988 -578 291 79
524 760 -16908 -576 237 118
636 728 -16960 -597 277 84
608 676 -16952 -624 289 96
552 676 -16884 -635 241 61
496 700 -17020 -606 290 49
504 704 -17012 -578 263 93
580 672 -16908 -582 239 95
588 668 -16896 -606 259 127
540 700 -17000 -571 229 105
540 680 -17024 -569 264 102
504 720 -17088 -567 269 110
512 736 -16888 -583 227 90
524 704 -16892 -576 239 117
576 692 -17080 -585 265 101
548 708 -16996 -581 272 82
524 748 -17020 -552 254 68
520 744 -16920 -601 280 89
572 640 -16924 -570 253 85
532 724 -16932 -580 254 89
536 708 -16928 -565 228 71
516 680 -16988 -582 273 69
516 668 -16880 -588 236 96
544 776 -16988 -558 274 63
500 736 -16948 -552 234 53
568 632 -16864 -540 233 60
548 748 -16924 -589 233 91
504 672 -16860 -596 204 95
500 712 -17076 -562 248 114
584 708 -16924 -592 249 101
